City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jamestown,US,42.097,-79.2353,25.0,94,90,22.24,light snow
80,Port Elizabeth,ZA,-33.918,25.5701,68.0,94,20,4.61,light rain
81,Hermanus,ZA,-34.4187,19.2345,72.0,70,35,1.01,scattered clouds
82,Ballina,AU,-28.8667,153.5667,72.0,94,1,3.44,clear sky
83,Kavaratti,IN,10.5669,72.642,80.64,72,0,2.89,clear sky
84,Toyooka,JP,35.5333,134.8333,48.2,93,75,31.07,mist
85,Cherskiy,RU,68.75,161.3,-28.95,85,7,4.99,clear sky
86,Bethel,US,41.3712,-73.414,42.8,42,1,20.71,clear sky
87,Diego De Almagro,CL,-26.3667,-70.05,76.35,30,0,11.59,clear sky
88,Cayenne,GF,4.9333,-52.3333,78.8,78,90,3.44,overcast clouds
89,Cidreira,BR,-30.1811,-50.2056,74.71,84,24,18.77,light rain
90,Hambantota,LK,6.1241,81.1185,73.54,78,0,11.14,clear sky
91,Isangel,VU,-19.55,169.2667,82.4,78,40,13.0,scattered clouds
92,Nova Odesa,UA,47.3078,31.7851,33.33,91,89,5.44,overcast clouds
93,Zyryanka,RU,65.75,150.85,-37.1,82,100,3.38,overcast clouds
94,Innisfail,AU,-17.5333,146.0333,71.15,95,100,8.59,overcast clouds
95,Lebu,CL,-37.6167,-73.65,63.93,82,20,22.84,few clouds
96,Drayton Valley,CA,53.2168,-114.9854,40.55,88,97,7.65,overcast clouds
97,Karasuk,RU,53.7377,78.0403,6.44,95,91,6.38,overcast clouds
98,Nouakchott,MR,18.0858,-15.9785,69.8,32,0,12.66,clear sky
99,Sabang,ID,5.8933,95.3214,81.36,71,79,14.29,broken clouds
100,Kavieng,PG,-2.5744,150.7967,83.97,73,91,8.43,light rain
101,Saskylakh,RU,71.9167,114.0833,-37.26,99,100,3.02,overcast clouds
102,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,83,40,10.36,scattered clouds
103,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.6,82,80,13.4,broken clouds
104,Tampakan,PH,6.4442,124.9264,73.26,82,7,1.23,clear sky
105,Chapais,CA,49.7834,-74.8492,-2.2,71,90,17.27,light snow
106,Aparecida Do Taboado,BR,-20.0867,-51.0936,75.09,81,11,4.63,few clouds
107,Tandil,AR,-37.3217,-59.1332,81.0,60,46,8.01,scattered clouds
108,Halden,NO,59.1226,11.3871,36.0,92,45,4.47,scattered clouds
109,Saldanha,ZA,-33.0117,17.9442,62.6,94,0,5.75,clear sky
110,Ratnagiri,IN,16.9833,73.3,74.61,88,0,3.33,clear sky
